0,"Banana","A yellow fruit with a soft inside."
0,"Guitar","A musical instrument with strings that is played by plucking or strumming."
0,"Window","An opening in a wall or door that allows light and air to enter."
0,"Candle","A stick of wax with a wick in the center that is lit to provide light."
0,"Jacket","A piece of clothing worn on the upper body that usually has sleeves and a zipper or buttons."
0,"Pillow","A soft cushion used to support the head while sleeping."
0,"Coffee","A drink made from roasted coffee beans that is usually served hot."
0,"Soccer","A sport in which two teams of eleven players kick a ball into the opposing team's goal."
0,"Basket","A container made of woven material used for carrying or storing things."
0,"Camera","A device used to take photographs or videos."
0,"Turtle","A reptile with a hard shell that lives in water or on land."
0,"Rocket","A vehicle that travels through space or the air propelled by engines."
0,"Bottle","A container with a narrow neck used for holding liquids."
0,"Pencil","A writing tool made of graphite and wood."
0,"Flower","A colorful plant with a fragrant aroma that is used for decoration."
0,"Orange","A citrus fruit with a thick skin and juicy pulp."
0,"Guitar","A musical instrument with strings that is played by plucking or strumming."
0,"Bakery","A place where bread, cakes, and pastries are made and sold."
0,"Camera","A device used to take photographs or videos."
0,"Cactus","A plant with spines instead of leaves that grows in hot, dry environments."
0,"Dolphin","A marine mammal that is known for its playful behavior and intelligence."
0,"Diamond","A precious gemstone that is transparent and colorless, often used in jewelry."
0,"Bicycle","A vehicle with two wheels that is powered by pedaling."
0,"Telescope","An instrument used to magnify distant objects and study the stars."
0,"Calendar","A chart used to organize and plan time, often used to mark important dates and events."
0,"Balloon","A lightweight inflatable object used for decoration or transportation."
0,"Sandwich","A food item made with two slices of bread and various fillings in between."
0,"Keyboard","An input device used to type letters and characters into a computer or other device."
0,"Lollipop","A candy on a stick, often in a round shape with various flavors."
0,"Computer","An electronic device used for storing, processing, and retrieving data."
0,"Elephant","A large mammal with a long trunk and tusks, often found in Africa and Asia."
0,"Museum","A building or institution that collects and displays artifacts and other items of cultural, historical, or scientific significance."
0,"Cucumber","A green vegetable with a crunchy texture, often used in salads."
0,"Backpack","A bag worn on the back with shoulder straps, often used for carrying books and other items."
0,"Parrot","A colorful bird with a curved beak and the ability to mimic sounds and speech."
0,"Symphony","A long musical composition for orchestra, typically in multiple movements."
0,"Calculator","An electronic device used for performing mathematical calculations."
0,"Pineapple","A tropical fruit with a tough exterior and sweet, juicy interior."
0,"Sculpture","A three-dimensional art form created by carving, modeling, or casting."
0,"Trampoline","A bouncy apparatus made of fabric stretched over a frame, used for exercise or play."
0,"Hippopotamus","A large semi-aquatic mammal with a massive body and short legs, native to Africa."
0,"Accommodation","A place where someone lives or stays, usually for a short period of time."
0,"Refrigerator","A household appliance used for storing food and drinks at a low temperature."
0,"Extravagant","Spending money excessively or beyond what is necessary or reasonable."
0,"International","Relating to or involving multiple countries or nations."
0,"Cappuccino","A type of coffee that is made with espresso and frothed milk, often served with a sprinkle of cinnamon or cocoa."
0,"Conversation","An exchange of ideas or thoughts between two or more people."
0,"Photography","The art, process, or practice of taking and developing photographs."
0,"Restaurant","A place where people can order and eat meals, usually for a fee."
0,"Multitasking","The ability to perform multiple tasks or activities simultaneously."
0,"Microphone","An electronic device used to amplify or record sound."
0,"Acceleration","The rate of change in velocity over time, often used in physics and engineering."
0,"Intelligence","The ability to acquire, process, and apply knowledge and skills to solve problems and adapt to new situations."
0,"Entertainment","Activities or events that are designed to provide amusement or enjoyment to an audience."
0,"Imagination","The ability to create mental images, concepts, or ideas that are not present in reality."
0,"Communication","The exchange of information, ideas, or messages between people or groups."
0,"Environmental","Relating to or affecting the natural world and the conditions of living organisms."
0,"Satisfaction","The feeling of pleasure or contentment that comes from achieving or obtaining something desired."
0,"Transportation","The act or process of moving people, goods, or vehicles from one place to another."
0,"Accomplishment","Something that has been achieved successfully, often with effort and skill."
0,"Resurrection","The act of rising from the dead, or bringing someone back to life."
0,"Entrepreneur","A person who starts and runs a business, often taking financial risks."
0,"Extraterrestrial","Relating to or originating from outside of the Earth or its atmosphere."
0,"Reassessment","The act of reviewing and reevaluating something, often to make changes or improvements."
0,"Unprecedented","Never before seen or experienced, without previous example."
0,"Accomplished","Skilled, successful, or accomplished in a particular field or activity."
0,"Immeasurable","Impossible to measure or quantify accurately."
0,"Establishment","A group of people or organization that has been established for a particular purpose or function."
0,"Irreplaceable","Unique, valuable, or indispensable, with no suitable substitute or replacement."
0,"Concentration","The act of focusing one's attention or energy on a particular task or activity."
0,"Inevitable","Unavoidable or certain to happen, often in a negative or unpleasant way."
0,"Disappointment","The feeling of sadness or dissatisfaction that comes from unfulfilled expectations or hopes."
0,"Misunderstood","Not properly or fully understood, often leading to confusion or misinterpretation."
0,"Vulnerability","The quality or state of being open to physical or emotional harm or attack."
0,"Disappearance","The act of vanishing or becoming lost or hidden, often without explanation or trace."
0,"Extravagance","Excessive or wasteful spending of money, often beyond what is necessary or reasonable."
0,"Intentionally","With deliberate intention or purpose, often in a conscious or planned way."
0,"Unforgettable","Memorable or remarkable in a way that is difficult to forget or erase from memory."
0,"Accommodation","The act of adapting or adjusting to a particular situation or circumstance."
0,"Misconception","A mistaken or incorrect idea or belief about something, often based on incomplete or inaccurate information."
0,"Boo","Used to express disapproval or to scare someone."
0,"Bee","An insect that is known for its ability to collect nectar from flowers and produce honey."
0,"Add","To combine or put together two or more things."
0,"Ebb","The movement of the tide out to sea."
0,"Odd","Strange, unusual, or peculiar."
0,"Moo","The sound made by a cow."
0,"Purr","The soft, low sound that a cat makes when it is content or happy."
0,"Tee","A small peg with a concave top used to support a golf ball."
0,"Tut","Used to express disapproval or annoyance."
0,"Lull","A temporary calm or quiet period."
0,"Meme","A humorous or cultural image, video, or text that is shared online."
0,"Sis","A short form of sister, used to refer to a female sibling."
0,"Wow","Used to express amazement or admiration."
0,"Egg","The oval-shaped reproductive body laid by female birds."
0,"Fee","A payment or charge for a service or a transaction."
0,"Hiss","A sharp, sibilant sound made by a cat, snake, or other animal."
0,"Yay","Used to express enthusiasm or approval."
0,"Goo","A soft, slimy substance."
0,"Suss","To investigate or scrutinize something or someone in detail."
0,"Zzz","The sound made to represent snoring or sleeping."
0,"Paris","The capital city of France, known for its art, culture, and landmarks like the Eiffel Tower and Louvre Museum."
0,"Rome","The capital city of Italy, known for its ancient architecture, rich history, and delicious cuisine."
0,"London","The capital city of England, known for its iconic landmarks like Big Ben, Buckingham Palace, and the London Eye."
0,"New York","A city in the northeastern United States, known for its skyscrapers, Central Park, and Times Square."
0,"Sydney","The largest city in Australia, known for its beautiful harbor, Opera House, and famous beaches like Bondi."
0,"Tokyo","The capital city of Japan, known for its modern technology, fashion, and unique cuisine."
0,"Rio de Janeiro","A city in Brazil, known for its vibrant culture, beautiful beaches like Copacabana and Ipanema, and the Christ the Redeemer statue."
0,"Venice","A city in Italy, known for its beautiful canals, gondolas, and historic architecture."
0,"Barcelona","A city in Spain, known for its art, architecture, and beaches like Barceloneta."
0,"Amsterdam","The capital city of the Netherlands, known for its canals, museums, and liberal culture."
0,"Egypt","A country in North Africa, known for its ancient pyramids, temples, and rich history."
0,"India","A country in South Asia, known for its diverse culture, beautiful landscapes, and historic landmarks like the Taj Mahal."
0,"China","A country in East Asia, known for its ancient history, beautiful landscapes, and modern cities like Beijing and Shanghai."
0,"Greece","A country in southeastern Europe, known for its ancient ruins, beautiful islands, and Mediterranean cuisine."
0,"Canada","A country in North America, known for its natural beauty, friendly people, and winter sports like skiing and ice hockey."
0,"Thailand","A country in Southeast Asia, known for its tropical beaches, beautiful temples, and delicious cuisine."
0,"Brazil","A country in South America, known for its diverse culture, beautiful landscapes, and love of soccer."
0,"Mexico","A country in North America, known for its rich history, delicious food, and beautiful beaches like Cancun and Tulum."
0,"Italy","A country in southern Europe, known for its delicious food, art, and historic landmarks like the Colosseum and the Leaning Tower of Pisa."
0,"Spain","A country in southwestern Europe, known for its beautiful beaches, vibrant culture, and historic landmarks like the Sagrada Familia and Alhambra Palace."
1,"Bite the bullet","To endure a painful or difficult situation with bravery and determination."
1,"Break a leg","An expression used to wish someone good luck, especially before a performance."
1,"Don't judge a book by its cover","To not form an opinion about someone or something based solely on its appearance."
1,"Get cold feet","To become nervous or hesitant about doing something, especially something important or challenging."
1,"Hang in there","To persevere and stay positive during a difficult or trying time."
1,"It's raining cats and dogs","A phrase used to describe very heavy rain."
1,"Kick the bucket","A euphemism for dying or passing away."
1,"Kill two birds with one stone","To accomplish two tasks at once or solve two problems with a single action."
1,"Let the cat out of the bag","To accidentally reveal a secret or confidential information."
1,"Miss the boat","To miss an opportunity or fail to take advantage of a favorable situation."
1,"On cloud nine","To be very happy or elated."
1,"Piece of cake","Something that is very easy or simple to do."
1,"Pull someone's leg","To tease or joke with someone in a playful way."
1,"Speak of the devil","A phrase used to indicate that someone who was just being talked about has arrived."
1,"Take a rain check","To decline an invitation or offer, but suggest doing it at a later time."
1,"The ball is in your court","It is now someone else's turn to take action or make a decision."
1,"Throw in the towel","To give up or quit, especially after a long and difficult struggle."
1,"Under the weather","Feeling sick or unwell."
1,"When pigs fly","A humorous way of saying that something is very unlikely to happen."
1,"You can't have your cake and eat it too","To express the idea that you can't have two conflicting things at the same time."
1,"Actions speak louder than words","A phrase used to convey the idea that what someone does is more important than what they say they will do."
1,"All's fair in love and war","A phrase used to suggest that in certain situations, such as romantic relationships and military conflicts, any behavior is acceptable or justifiable."
1,"Beauty is in the eye of the beholder","A phrase used to convey the idea that beauty is subjective and can be perceived differently by different people."
1,"Better late than never","A phrase used to convey the idea that it is better to do something late than to not do it at all."
1,"Birds of a feather flock together","A phrase used to convey the idea that people who are similar in some way tend to associate with each other."
1,"Curiosity killed the cat","A phrase used to warn against being too curious or nosy, as it can lead to trouble."
1,"Every cloud has a silver lining","A phrase used to convey the idea that even in a difficult or unpleasant situation, there is usually some positive aspect or outcome."
1,"Give someone the benefit of the doubt","To trust or believe someone, even if there is some doubt or uncertainty about their actions or intentions."
1,"Ignorance is bliss","A phrase used to suggest that it is better not to know about certain things, as knowledge can lead to worry or distress."
1,"Kill time","To engage in activities that occupy or pass the time, especially while waiting for something else to happen."
1,"Like father, like son","A phrase used to convey the idea that sons often resemble their fathers in terms of behavior, personality, or physical appearance."
1,"The early bird catches the worm","A phrase used to convey the idea that those who take action early are more likely to succeed or obtain an advantage."
1,"The grass is always greener on the other side","A phrase used to convey the idea that people often believe that others have it better than they do, even if this is not necessarily true."
1,"The whole nine yards","A phrase used to convey the idea that everything possible or available has been done or used in a particular situation."
1,"There's no such thing as a free lunch","A phrase used to convey the idea that everything has a cost or comes with some sort of catch or obligation."
1,"To be or not to be, that is the question","A famous phrase from Shakespeare's play Hamlet, which refers to the existential question of whether it is better to live or die."
1,"Two heads are better than one","A phrase used to convey the idea that working with someone else or seeking input from others can lead to better results or solutions."
1,"Where there's smoke, there's fire","A phrase used to convey the idea that where there is evidence or indication of something, there is likely some truth to it."
1,"You can lead a horse to water, but you can't make it drink","A phrase used to convey the idea that you can provide opportunities or resources to someone, but you cannot force them to take advantage of them."
1,"You reap what you sow","A phrase used to convey the idea that one's actions will have consequences, either positive or negative, depending on the nature of those actions."
1,"A penny saved is a penny earned","A phrase that means it is wise to save money, as even small amounts can add up over time."
1,"A stitch in time saves nine","A phrase that means taking care of a small problem now can prevent it from becoming a larger problem later."
1,"April showers bring May flowers","A phrase that refers to the idea that the rain in April helps flowers grow and bloom in May."
1,"As easy as pie","A phrase used to describe a task or activity that is very simple or easy to accomplish."
1,"Barking up the wrong tree","A phrase used to describe someone who is pursuing the wrong course of action or making a mistaken assumption."
1,"Haste makes waste","A phrase that means rushing or hurrying can lead to mistakes or inefficiency."
1,"Jack of all trades, master of none","A phrase used to describe someone who is skilled at many things but not an expert in any one area."
1,"Make hay while the sun shines","A phrase that means it is wise to take advantage of opportunities when they are available, as they may not last forever."
1,"Rome wasn't built in a day","A phrase used to convey the idea that large or complex tasks take time and effort to complete."
1,"There's more than one way to skin a cat","A phrase used to convey the idea that there are multiple ways to achieve a goal or solve a problem."
1,"Live and let live","A phrase that means to respect others' rights to live as they choose, without interference or judgment."
1,"All's fair in love and war","A phrase that suggests that in matters of love and war, almost anything goes and any tactic is justified."
1,"Like father, like son","A phrase that suggests that sons often inherit their fathers' traits or qualities."
1,"Blood is thicker than water","A phrase that suggests that family ties and loyalty are stronger than friendships or other relationships."
1,"Actions speak louder than words","A phrase that means it is better to do something than just talk about it."
1,"No pain, no gain","A phrase that suggests that you have to work hard and endure discomfort or hardship to achieve success or make progress."
1,"Better late than never","A phrase that suggests it is better to do something later than not at all."
1,"Practice makes perfect","A phrase that suggests that repetition and practice lead to improvement and success."
1,"The early bird catches the worm","A phrase that suggests that those who start their day early and are proactive will have an advantage over those who are lazy or procrastinate."
1,"When in Rome, do as the Romans do","A phrase that suggests that when you are in a different culture or environment, it is best to adapt to the local customs and traditions."
1,"X marks the spot","A phrase used to indicate the location of something, often a treasure or hidden item."
1,"The whole nine yards","A phrase used to mean going all out or giving it your all."
1,"Zero in on","A phrase used to mean focusing or directing attention on something."
1,"Zip your lip","A phrase used to mean to be quiet or keep a secret."
1,"Zigzagging through traffic","A phrase used to describe a car or person moving quickly and erratically through traffic."
1,"Quid pro quo","A Latin phrase used to mean an exchange of something for something else, often used in a business or legal context."
1,"Faux pas","A French phrase used to mean a social mistake or blunder, often related to cultural or etiquette norms."
1,"Catch","twenty-two - A phrase used to describe a paradoxical situation where there is no way out due to conflicting or mutually exclusive conditions."
1,"Jazzed up","A phrase used to mean adding excitement or energy to something, often through music or other creative means."
1,"Hocus pocus","A phrase used in magic shows or to describe something that is deceitful or fraudulent."
